"","V1","Finished","Progress","Q434","Q435","Q436","Q437","Q438","Q439","Q440","Q441","Q442","Q443","Q444","Q445","Q447","Q448","Q449","Q450","Q451","Q452","Q453","Q454","Q455","Q456","Q457","Q458"
"30","E34","TRUE","100","shape","building","voice","young","workers","discuss","origin","matter","groups","cover","throw","touch","line","machine","supper","state","story","director","renew","cover","weather","dollar","student","plane"
"31","E41","TRUE","100","plane","star","face","play","machine","plan","country","place","place","metal","ball","buds","slope","box","supper","state","book","building","ball","ball","card","dollar","school","run"
"32","E17","TRUE","100","cover","chain","sore","parent","worker","member","American","house","person","paper","ball","food","angle","car","dinner","state","story","worker","picture","long","homework","dollar","student","plane"
"33","E55","TRUE","100","slope","wall","voice","mother","product","meeting","foreign","symbol","crowd","cover","metal","touch","slope","machine","supper","state","movie","doctor","picture","forest","weather","dollar","student","plane"
"34","E56","TRUE","100","corner",NA,NA,"mother",NA,NA,"foreign",NA,NA,NA,"branch","touch",NA,"machine","dinner","state",NA,NA,NA,NA,NA,"dollar","student","plane"
"35","E22","TRUE","100","corner","street","voice","mother","machine","people","foreign","material","world","paper","wood","sweet","shape","machine","break","pride","story","doctor","wall","high","paper","sheet","student","plane"
"36","E51","TRUE","100","edge",NA,"neck","parent","made",NA,"language",NA,NA,"paper",NA,"flavore","angle","machine","supper","country","story","desk","brush",NA,NA,NA,"school",NA
"37","E26","TRUE","100","corner","street","voice","mother","product","meeting","foreign",NA,NA,"cover",NA,"touch","shape","machine","supper","state",NA,"doctor","picture",NA,"weather","dollar","student","plane"
"38","E36","TRUE","100","shape","shape","cough","parent","machine","objects","tribe","shape","humans","bed","yard","food","sharp","motor","student","state","book","supplies","supplies","shape","grade","currency","student","machine"
"39","E3","TRUE","100","degree","area","sick","kid","machine","dare","american","up","black","cars","tree","buds","road","cart","food","world","book","work","water","hunter","card","change","degree","car"
"40","E58","TRUE","100","shape","brick","voice","birth","warehouse","bunch","american","thing","human","paper","rod","flavor","angle","car","meal","country","story","space","brush","space","card","dollar","study","plane"
"41","E10","TRUE","100","corner","street","swallow","mother","worker",NA,"foreign","thing",NA,"cover","wooden","wine","sharp","machine","supper","state","book","doctor","picture",NA,"card","dollar","student","plane"
"42","E57","TRUE","100","curve",NA,NA,"mother",NA,NA,NA,NA,NA,NA,"branch","touch","angle","machine","supper","state","author",NA,"protection",NA,NA,"dime","student","plane"
"43","E11","TRUE","100","curve",NA,NA,NA,NA,NA,"foreign","shape",NA,"cover",NA,NA,NA,"machine","supper",NA,NA,"doctor",NA,NA,"weather","dollar",NA,"plane"
"44","E50","TRUE","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,"paper","branch",NA,NA,"machine",NA,NA,"book",NA,"picture",NA,"news",NA,NA,"station"
"45","E21","TRUE","100","curve","street",NA,NA,"product",NA,"land","blaock","state","paper","rope","touch","sharp","machine","meal","state","book","doctor","wall",NA,"state","dollar","student","car"
"46","E30","TRUE","100","corner",NA,NA,"mother",NA,"meeting",NA,NA,NA,"paper",NA,"smell",NA,NA,"supper",NA,"story","meeting","picture","stove",NA,"dollar","student","plane"
"47","E28","TRUE","100","right","aide","voice","mother","plant","mate","people","symbol","plan","plant","tree","smell","shop","train","supper","state","story","space","plant","oven","card","coin","student","track"
"48","E44","TRUE","100",NA,NA,NA,"mother",NA,NA,NA,NA,NA,"cover",NA,"smell",NA,"machine","supper","state","story",NA,"painter","stove",NA,"dollar","student","plane"
"49","E48","TRUE","100","shape","street","voice","mother",NA,"meeting","foreign","symbol",NA,"cover","branch",NA,"shape","machine","supper",NA,NA,NA,"picture",NA,NA,"dollar","student","plane"
"50","E39","TRUE","100",NA,NA,"voice","parent","product",NA,"foreign",NA,NA,"cover","branch",NA,"shape","machine","dinner","state",NA,NA,"picture",NA,NA,"dollar",NA,"plane"
"51","E9","TRUE","100","degree",NA,"sickeness","kid","made","colletive","american","subject","person","paper","wood","buds","around","repair","break","made","book","made","jar","distance","paper",NA,"degree",NA
"52","E47","TRUE","100","SIDE","WHITE","MOUTH","CARE","BUILDING","MEETING","LANGUAGE","POS","PLACE","PAPER","GLUE","BUD","STRAIGHT","MOTOR","DINNER","STATE","BOOK","ROOM","BRUSH","LONG","CARD","DIME","STUDENT","PLANE"
"53","E13","TRUE","100","acute","building","body","kid","manufactor","team","foreign","subject","group","bed","tree","sensation","circle","car","food","continent","book","depo","bucket","gun","document","money","student","car"
"54","E46","TRUE","100","corner","street","voice","mother","product","meeting","foreign","symbol","world","cover","branch","touch","shape","machine","supper","country","story","doctor","picture","rover","weather","dollar","student","plane"
"55","E32","TRUE","100","right","chain","tongue","mother","worker","working","foreign","thing","world","cover","pole","touch","shape","machine","supper","state","idea","project","picture","far","weather","dollar","student","plane"
"56","E23","TRUE","100","shape","neighborhood","swallow","mother","work","friends","resident","curve","gather","paper","paste","food","round","car",NA,"state","book","work","house","mountain","read","dollar","university","track"
"57","E49","TRUE","100",NA,NA,"voice",NA,NA,NA,NA,NA,NA,NA,NA,NA,"shape","machine","supper","state","story",NA,NA,NA,"weather",NA,NA,"plane"
"58","E2","TRUE","100","corner","shape","noise",NA,"worker",NA,"foreign","thing","crowd","cover","branch","touch","shape","machine","supper","state","author","doctor","picture",NA,"news","dollar","student","automobile"
"59","E24","FALSE","99","line","shape","tongue","person","line","people","state","thing","world","cover","branch","tongue","shape","mechanic","supper","state","write","stapler","brush","ranch","paper","dollar","university","plane"
